3. Latin America;Peru and Bolivia;Peru;PE10;Nestle Peru S.A.;0116;PE DC SAD IQUITOS
3. Latin America;Peru and Bolivia;Peru;PE10;Nestle Peru S.A.;0117;PE DC Ransa
1. Europe;Nordic Region;Finland;FI11;Suomen Nestle Oy;0120;FI PL Turku Factory & DC
3. Latin America;Peru and Bolivia;Peru;PE10;Nestle Peru S.A.;0122;PE DC Alfrimac
CPW;3. CPW Latin America;CPW Peru;PE11;Cereales Cpw Peru S.R.L.;0123;PE DC PERU - CPW
3. Latin America;Peru and Bolivia;Peru;PE10;Nestle Peru S.A.;0124;PE HO HEAD OFFICE
3. Latin America;Peru and Bolivia;Bolivia;BO10;Nestle Bolivia S.A.;0125;BO DC La Paz
3. Latin America;Peru and Bolivia;Bolivia;BO10;Nestle Bolivia S.A.;0126;BO DC Santa Cruz
CPW;3. CPW Latin America;CPW Bolivia;BO11;Cereales Cpw Bolivia S.R.L. (Liquidated 04/04/2017);0127;BO DC BOLIVIA - CPW
3. Latin America;Peru and Bolivia;Bolivia;BO10;Nestle Bolivia S.A.;0128;BO HO HEAD OFFICE
2. AOA;Pakistan Region;Pakistan;PK10;Nestle Pakistan Ltd;0144;PK CP Outsourcing
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0149;MY RO NPS-Kuala Lumpur
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0150;MY RO NPS-Penang
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0151;MY RO NPS-Kuantan
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0152;MY RO NPS-Johor
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0153;MY RO NPS-Sarawak
2. AOA;Malaysia/Singapore;Malaysia;MY11;Nestle Products Sdn. Bhd.;0154;MY RO NPS-Sabah
CPW;1. CPW Europe;CPW Russian Fed.;RU12;Cereal Partners Rus, LLC;0164;RU PL Perm CP Rus
4. North America;Canada;Canada;CA10;Nestle Canada Inc.;0168;CA HO Nestle - North York
2. AOA;Eastern&South Africa Region ESAR;Kenya;KE10;Nestle Kenya Limited (0030);0169;KE PL Nairobi
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0170;ZA HO Bryanston
2. AOA;Eastern&South Africa Region ESAR;South Africa;ZA10;Nestle (South Africa) (Proprietary) Limited;0171;ZA PL Babelegi
